"content_id","title","genre","release_year","duration_minutes","language","rating_imdb","views_count","likes","dislikes","subscription_type","region","watch_time_hours","device_type","ad_revenue_usd","subscription_revenue_usd","content_type","producer"
"C-001","The Last War","Action","2022","120","English","8.2","1000000","800000","20000","Premium","Global","500000","Mobile","20000","100000","Movie","Marvel"
"C-002","Love Again","Romance","2021","95","English","7.5","800000","600000","15000","Basic","Asia","400000","TV","15000","80000","Movie","Netflix"
"C-003","Galaxy Fight","Sci-Fi","2023","140","English","8.8","1200000","900000","25000","Premium","US","600000","PC","25000","120000","Movie","Disney"
"C-004","Funny Life","Comedy","2020","110","English","7.2","600000","450000","12000","Basic","EU","300000","Mobile","12000","70000","Movie","Warner Bros"
"C-005","Horror Night","Horror","2022","100","English","6.8","500000","300000","20000","Premium","Global","250000","TV","10000","60000","Movie","Universal"
"C-006","The Detective","Crime","2023","130","English","8.5","900000","700000","18000","Premium","Asia","450000","PC","18000","90000","Series","HBO"
"C-007","Space Journey","Sci-Fi","2021","150","English","8","850000","650000","17000","Basic","US","420000","Mobile","16000","85000","Movie","Netflix"
"C-008","Love Story","Romance","2020","105","English","7","550000","400000","14000","Basic","EU","280000","TV","11000","75000","Movie","Disney"
"C-009","Action Hero","Action","2023","125","English","8.3","1100000","850000","22000","Premium","Global","520000","PC","22000","110000","Movie","Marvel"
"C-010","Haunted House","Horror","2022","98","English","6.5","480000","280000","21000","Basic","Asia","240000","Mobile","9000","65000","Movie","Universal"
"C-011","City Crime","Crime","2021","115","English","7.8","700000","550000","16000","Premium","US","350000","TV","14000","88000","Series","HBO"
"C-012","Future World","Sci-Fi","2023","135","English","8.6","1150000","870000","23000","Premium","Global","580000","PC","24000","115000","Movie","Disney"
"C-013","Funny Days","Comedy","2022","108","English","7.3","620000","470000","13000","Basic","EU","310000","Mobile","12000","72000","Movie","Warner Bros"
"C-014","Love Forever","Romance","2023","102","English","7.6","830000","620000","15000","Premium","Asia","410000","TV","15000","82000","Movie","Netflix"
"C-015","War Zone","Action","2021","128","English","8.1","980000","760000","20000","Premium","US","490000","PC","21000","105000","Movie","Marvel"
"C-016","Dark Night","Horror","2020","97","English","6.7","460000","270000","22000","Basic","Global","230000","Mobile","8000","60000","Movie","Universal"
"C-017","Secret Case","Crime","2022","118","English","8.4","920000","710000","17000","Premium","Asia","460000","TV","18000","90000","Series","HBO"
"C-018","Alien Attack","Sci-Fi","2023","142","English","8.7","1250000","950000","26000","Premium","Global","620000","PC","26000","125000","Movie","Disney"
"C-019","Happy Life","Comedy","2021","107","English","7.1","580000","420000","12000","Basic","EU","290000","Mobile","11000","73000","Movie","Warner Bros"
"C-020","Endless Love","Romance","2022","100","English","7.4","760000","580000","14000","Premium","Asia","390000","TV","14000","80000","Movie","Netflix"
