"vehicle_id","model","series","body_type","year","engine_type","engine_capacity","horsepower","torque","transmission","fuel_type","drivetrain","color","mileage_km","price_usd","status","manufacturing_country","dealer_location","vin","registration_date","warranty_years","owner_count"
"BMW-001","320i","3 Series","Sedan","2022","Turbocharged","2.0L","184","300","Automatic","Petrol","RWD","Black","15000","32000","Available","Germany","Yangon","WBA001","2022-03-01","3","1"
"BMW-002","330i","3 Series","Sedan","2023","Turbocharged","2.0L","255","400","Automatic","Petrol","RWD","White","8000","38000","Available","Germany","Mandalay","WBA002","2023-05-10","3","1"
"BMW-003","340i","3 Series","Sedan","2021","Turbocharged","3.0L","382","500","Automatic","Petrol","RWD","Blue","20000","42000","Sold","Germany","Yangon","WBA003","2021-07-15","3","2"
"BMW-004","520i","5 Series","Sedan","2022","Turbocharged","2.0L","184","290","Automatic","Petrol","RWD","Silver","12000","45000","Available","Germany","Naypyitaw","WBA004","2022-04-20","3","1"
"BMW-005","530i","5 Series","Sedan","2023","Turbocharged","2.0L","248","350","Automatic","Petrol","RWD","Black","6000","52000","Available","Germany","Yangon","WBA005","2023-02-18","3","1"
"BMW-006","540i","5 Series","Sedan","2021","Turbocharged","3.0L","335","450","Automatic","Petrol","RWD","Grey","18000","58000","Sold","Germany","Mandalay","WBA006","2021-09-30","3","2"
"BMW-007","X1","SUV","Compact SUV","2022","Turbocharged","1.5L","134","220","Automatic","Petrol","FWD","White","14000","35000","Available","Germany","Yangon","WBA007","2022-06-12","3","1"
"BMW-008","X3","SUV","Mid SUV","2023","Turbocharged","2.0L","248","350","Automatic","Petrol","AWD","Black","9000","48000","Available","USA","Mandalay","WBA008","2023-01-25","3","1"
"BMW-009","X5","SUV","Full SUV","2022","Turbocharged","3.0L","335","450","Automatic","Petrol","AWD","Blue","11000","70000","Sold","USA","Yangon","WBA009","2022-08-05","3","1"
"BMW-010","X7","SUV","Luxury SUV","2023","Turbocharged","3.0L","375","520","Automatic","Petrol","AWD","White","5000","90000","Available","USA","Naypyitaw","WBA010","2023-03-14","3","1"
"BMW-011","218i","2 Series","Coupe","2021","Turbocharged","1.5L","134","220","Manual","Petrol","FWD","Red","22000","28000","Sold","Germany","Yangon","WBA011","2021-11-11","3","2"
"BMW-012","220i","2 Series","Coupe","2022","Turbocharged","2.0L","184","300","Automatic","Petrol","RWD","Black","16000","30000","Available","Germany","Mandalay","WBA012","2022-10-01","3","1"
"BMW-013","430i","4 Series","Coupe","2023","Turbocharged","2.0L","255","400","Automatic","Petrol","RWD","Blue","7000","47000","Available","Germany","Yangon","WBA013","2023-04-22","3","1"
"BMW-014","M4","4 Series","Coupe","2022","Twin Turbo","3.0L","473","550","Automatic","Petrol","RWD","Yellow","9000","75000","Sold","Germany","Naypyitaw","WBA014","2022-07-19","3","1"
"BMW-015","740i","7 Series","Sedan","2023","Turbocharged","3.0L","375","520","Automatic","Petrol","RWD","Black","4000","95000","Available","Germany","Yangon","WBA015","2023-02-02","3","1"
"BMW-016","i4","Electric","Gran Coupe","2023","Electric","0L","335","430","Automatic","Electric","RWD","White","3000","60000","Available","Germany","Mandalay","WBA016","2023-06-10","5","1"
"BMW-017","iX","Electric","SUV","2023","Electric","0L","516","765","Automatic","Electric","AWD","Blue","2000","85000","Available","Germany","Yangon","WBA017","2023-07-15","5","1"
"BMW-018","118i","1 Series","Hatchback","2021","Turbocharged","1.5L","134","220","Manual","Petrol","FWD","Grey","25000","25000","Sold","Germany","Mandalay","WBA018","2021-03-08","3","2"
"BMW-019","128ti","1 Series","Hatchback","2022","Turbocharged","2.0L","261","400","Automatic","Petrol","FWD","Red","13000","33000","Available","Germany","Yangon","WBA019","2022-05-21","3","1"
"BMW-020","Z4","Roadster","Convertible","2023","Turbocharged","3.0L","382","500","Automatic","Petrol","RWD","Orange","4000","65000","Available","Austria","Naypyitaw","WBA020","2023-08-01","3","1"
"BMW-021","X6","SUV","Coupe SUV","2022","Turbocharged","3.0L","335","450","Automatic","Petrol","AWD","Black","10000","72000","Sold","USA","Yangon","WBA021","2022-09-09","3","1"
"BMW-022","X4","SUV","Coupe SUV","2023","Turbocharged","2.0L","248","350","Automatic","Petrol","AWD","White","8000","50000","Available","USA","Mandalay","WBA022","2023-03-30","3","1"
